GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Parke, IN",2011,0.001877796,0.00680368,0.012060473,0.004580363,0.001759664
"Perry, IN",2011,0.00649246,0.008882122,0.014748791,0.008940683,0.006505569
"Pike, IN",2011,0.008157216,0.004472029,0.007187967,0.003323803,0.003733721
"Porter, IN",2011,0.067268395,0.16683083,0.176229847,0.105917267,0.079949065
"Posey, IN",2011,0.027040842,0.020885329,0.021646636,0.013657124,0.014009463
"Pulaski, IN",2011,0.004062742,0.006434926,0.007920443,0.00605407,0.004055211
"Putnam, IN",2011,0.008982766,0.022135879,0.034981219,0.020642032,0.011817167
"Randolph, IN",2011,0.00770506,0.015185018,0.022058102,0.011753465,0.0066012
"Ripley, IN",2011,0.012910083,0.019324947,0.024989107,0.022345916,0.018616103
"Rush, IN",2011,0.004186795,0.00947497,0.012395824,0.006941479,0.003944271
"Scott, IN",2011,0.005041633,0.011666089,0.019764703,0.009929427,0.005861375
"Shelby, IN",2011,0.017393027,0.032920641,0.042182424,0.027754334,0.019792472
"Spencer, IN",2011,0.013370908,0.012761278,0.016393551,0.010812493,0.00703245
"St. Joseph, IN",2011,0.133918241,0.237770505,0.287710628,0.217409431,0.166706777
"Starke, IN",2011,0.003062441,0.010907895,0.018921915,0.006588252,0.003038711
"Steuben, IN",2011,0.01215232,0.022626455,0.030854426,0.024389997,0.014098552
"Sullivan, IN",2011,0.011126621,0.010143176,0.016752067,0.008882777,0.006525026
"Switzerland, IN",2011,0.000965247,0.001098575,0.004906703,0.001854439,0.001212888
"Tippecanoe, IN",2011,0.085125839,0.133899957,0.186144741,0.143876081,0.114339926
"Tipton, IN",2011,0.003119103,0.008347577,0.010783054,0.005444609,0.003646251
"Union, IN",2011,0,0,0.001581882,0.000380732,0
"Vanderburgh, IN",2011,0.116696223,0.176300981,0.192125889,0.184306033,0.151573751
"Vermillion, IN",2011,0.008042695,0.007446058,0.011054423,0.005042163,0.005114604
"Vigo, IN",2011,0.050570765,0.080447738,0.112764819,0.085615432,0.062998208
"Wabash, IN",2011,0.010512073,0.021376968,0.029265925,0.019974666,0.011902176
"Warren, IN",2011,0.001309785,0.002470873,0.002691627,0.001146538,0.000888397
"Warrick, IN",2011,0.023561606,0.060174783,0.059831332,0.029582715,0.01947169
"Washington, IN",2011,0.004256458,0.015396014,0.024427616,0.009855597,0.004748401
"Wayne, IN",2011,0.027579515,0.049671257,0.069157157,0.050320292,0.03406927
"Wells, IN",2011,0.010195526,0.018228621,0.023919075,0.017271905,0.011469072
"White, IN",2011,0.008764627,0.016228552,0.020511519,0.014499656,0.008716276
"Whitley, IN",2011,0.010625976,0.023570311,0.03010761,0.019796605,0.012964536
"Adams, IN",2012,0.013478544,0.022453204,0.030931661,0.023981619,0.012839154
"Allen, IN",2012,0.199527475,0.326677081,0.388232238,0.319573054,0.248560094
"Bartholomew, IN",2012,0.071485211,0.077329317,0.079127378,0.078422652,0.076578667
"Benton, IN",2012,0.002468034,0.00255938,0.002999407,0.002429705,0.001416832
"Blackford, IN",2012,0.001906402,0.004650797,0.007128504,0.003658767,0.002261872
"Boone, IN",2012,0.025089242,0.077409285,0.058202473,0.044048713,0.028717261
"Brown, IN",2012,0.001474927,0.008961389,0.009891059,0.004812522,0.001186501
"Carroll, IN",2012,0.005434213,0.012656265,0.015347404,0.007921408,0.004358477
"Cass, IN",2012,0.013183726,0.0252381,0.035792054,0.023229974,0.015011851
"Clark, IN",2012,0.053384798,0.097165785,0.115955253,0.082746391,0.058313863
"Clay, IN",2012,0.005578496,0.015363279,0.022671284,0.012581896,0.006441421
"Clinton, IN",2012,0.011903588,0.020893507,0.029505087,0.017550715,0.012010702
"Crawford, IN",2012,0.000651566,0.002079596,0.004999012,0.00196934,0.000445521
"Daviess, IN",2012,0.010111402,0.021820463,0.028403776,0.020571507,0.011092144
"DeKalb, IN",2012,0.023987975,0.031495113,0.039497654,0.032532478,0.026367308
"Dearborn, IN",2012,0.01900382,0.041780516,0.047887917,0.025813134,0.017402213
"Decatur, IN",2012,0.012501761,0.017473424,0.021776265,0.020229074,0.015279504
"Delaware, IN",2012,0.042160044,0.081311501,0.120709772,0.080620754,0.054463335
"Dubois, IN",2012,0.025263323,0.041222443,0.039563143,0.044146754,0.032608037
"Elkhart, IN",2012,0.117531888,0.16088421,0.210754207,0.190736144,0.150402976
"Fayette, IN",2012,0.005176463,0.013797659,0.019627126,0.009484377,0.005961985
"Floyd, IN",2012,0.026798349,0.073050472,0.075897667,0.051234106,0.034994413
"Fountain, IN",2012,0.005204995,0.009231578,0.012055478,0.008066338,0.004693735
"Franklin, IN",2012,0.004024014,0.016880175,0.018521449,0.00708451,0.002748958
"Fulton, IN",2012,0.005958347,0.012586775,0.016005571,0.010862631,0.006607394
"Gibson, IN",2012,0.030262683,0.0244495,0.029786691,0.028465918,0.027063026
"Grant, IN",2012,0.02916418,0.050721572,0.069124987,0.046783908,0.033955722
"Greene, IN",2012,0.005439568,0.021250089,0.028987722,0.012388656,0.005501291
"Hamilton, IN",2012,0.160251145,0.417247039,0.310683151,0.230887382,0.185153396
"Hancock, IN",2012,0.022248739,0.06695752,0.070564659,0.039614146,0.026017456
"Harrison, IN",2012,0.009808919,0.028548627,0.03572329,0.019794285,0.010185029
"Hendricks, IN",2012,0.05425503,0.143566454,0.158422844,0.10044914,0.066331178
"Henry, IN",2012,0.010605198,0.032058844,0.04720028,0.021203798,0.012243669
"Howard, IN",2012,0.053042802,0.063242958,0.08403143,0.062785863,0.053829981
"Huntington, IN",2012,0.013705391,0.02615935,0.033794632,0.023542567,0.014886318
"Jackson, IN",2012,0.021741174,0.033561545,0.040801981,0.031000769,0.0231339
